alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
1,500,10,803.000000,963.000000,1542.000000,1310.000000,743.000000,961.000000,1656.000000,2214.000000,1333.000000,1401.000000,653.000000,733.000000,8657.000000,8694.000000,7662.000000,7609.000000
1,128,16,974.000000,787.000000,1349.000000,1683.000000,1138.000000,1339.000000,1705.000000,2226.000000,1276.000000,1409.000000,698.000000,842.000000,8598.000000,9251.000000,7102.000000,7421.000000
1,128,32,780.000000,734.000000,1142.000000,1604.000000,1534.000000,902.000000,1858.000000,1666.000000,1680.000000,1593.000000,705.000000,866.000000,10518.000000,7644.000000,7744.000000,6736.000000
1,256,8,937.000000,696.000000,1433.000000,1259.000000,1330.000000,902.000000,1817.000000,1783.000000,1473.000000,1691.000000,565.000000,883.000000,9088.000000,9869.000000,8011.000000,9183.000000
1,300,12,973.000000,872.000000,1466.000000,1166.000000,927.000000,1493.000000,1642.000000,1691.000000,1845.000000,1522.000000,472.000000,685.000000,8645.000000,14307.000000,6908.000000,6822.000000
1,100,50,808.000000,888.000000,1116.000000,1539.000000,1239.000000,854.000000,1605.000000,1872.000000,1590.000000,1291.000000,530.000000,845.000000,8266.000000,10166.000000,11707.000000,7891.000000
1,30,100,787.000000,710.000000,1199.000000,1584.000000,1147.000000,1008.000000,1733.000000,2169.000000,1670.000000,1348.000000,677.000000,756.000000,8141.000000,9406.000000,6761.000000,6810.000000
1,200,50,1037.000000,727.000000,1165.000000,1433.000000,870.000000,927.000000,1648.000000,2661.000000,1688.000000,1194.000000,591.000000,741.000000,8444.000000,8536.000000,7026.000000,7977.000000
1,300,30,881.000000,704.000000,1119.000000,1528.000000,927.000000,996.000000,1628.000000,1794.000000,1566.000000,1320.000000,579.000000,722.000000,8155.000000,8648.000000,9856.000000,6969.000000
1,10,200,973.000000,870.000000,1238.000000,1239.000000,951.000000,911.000000,1877.000000,1778.000000,1238.000000,1657.000000,507.000000,818.000000,9530.000000,7760.000000,6574.000000,8339.000000
1,128,8,830.000000,872.000000,1431.000000,1239.000000,1286.000000,1626.000000,1945.000000,1877.000000,1506.000000,1371.000000,669.000000,656.000000,7929.000000,8491.000000,7629.000000,7573.000000
1,64,8,801.000000,704.000000,1038.000000,1175.000000,960.000000,1385.000000,1800.000000,1918.000000,1224.000000,1843.000000,700.000000,1011.000000,9604.000000,8580.000000,6425.000000,8246.000000
1,32,16,880.000000,704.000000,1741.000000,1179.000000,962.000000,878.000000,1913.000000,2038.000000,1558.000000,1479.000000,635.000000,791.000000,10196.000000,11138.000000,7061.000000,7979.000000
1,3,4,786.000000,833.000000,1180.000000,1843.000000,965.000000,1066.000000,1855.000000,2521.000000,2006.000000,1550.000000,709.000000,812.000000,8496.000000,9159.000000,7481.000000,6904.000000
1,256,8,867.000000,704.000000,1392.000000,1480.000000,1123.000000,1525.000000,1702.000000,2010.000000,1962.000000,1783.000000,632.000000,977.000000,8454.000000,7790.000000,6910.000000,7592.000000
0.800000,128,4,943.000000,866.000000,2149.000000,1360.000000,1054.000000,907.000000,2693.000000,1822.000000,1481.000000,1571.000000,480.000000,693.000000,10514.000000,7857.000000,7167.000000,7483.000000
0.800000,256,4,1260.000000,713.000000,1569.000000,1362.000000,981.000000,1208.000000,1829.000000,1921.000000,1215.000000,1640.000000,682.000000,797.000000,9348.000000,8588.000000,5812.000000,7233.000000
0.900000,512,8,802.000000,766.000000,1521.000000,1383.000000,1097.000000,1188.000000,1826.000000,1765.000000,1661.000000,1783.000000,523.000000,824.000000,8046.000000,12770.000000,6418.000000,6939.000000
0.900000,1024,8,963.000000,743.000000,1171.000000,1262.000000,784.000000,1412.000000,1784.000000,1823.000000,1532.000000,1391.000000,590.000000,769.000000,11565.000000,9168.000000,6945.000000,7665.000000
0.900000,1024,16,778.000000,841.000000,1213.000000,1331.000000,1741.000000,1102.000000,1922.000000,2268.000000,1571.000000,1604.000000,845.000000,697.000000,8177.000000,14314.000000,6491.000000,7274.000000
1.000000,1024,16,983.000000,760.000000,1110.000000,1966.000000,1208.000000,1043.000000,2110.000000,1891.000000,1231.000000,1542.000000,661.000000,823.000000,7629.000000,8103.000000,6481.000000,6921.000000
1.000000,1024,32,1099.000000,723.000000,1085.000000,1145.000000,1036.000000,1563.000000,1522.000000,1612.000000,1414.000000,1648.000000,622.000000,601.000000,8745.000000,10577.000000,8675.000000,8124.000000
0.900000,32,128,818.000000,980.000000,1153.000000,1283.000000,937.000000,1343.000000,1700.000000,1990.000000,1889.000000,1803.000000,631.000000,819.000000,8119.000000,9123.000000,6515.000000,7894.000000
0.900000,512,32,834.000000,941.000000,1146.000000,1378.000000,913.000000,1294.000000,1848.000000,1697.000000,1173.000000,1605.000000,582.000000,811.000000,9398.000000,10259.000000,6271.000000,7310.000000
0.900000,256,64,1102.000000,751.000000,1485.000000,1325.000000,901.000000,1082.000000,1909.000000,2089.000000,1410.000000,1722.000000,609.000000,948.000000,8738.000000,9816.000000,7594.000000,7231.000000
0.900000,300,100,915.000000,840.000000,1344.000000,1255.000000,1127.000000,1055.000000,1621.000000,1984.000000,1369.000000,1412.000000,489.000000,778.000000,11506.000000,9129.000000,6345.000000,6936.000000
0.900000,500,100,1151.000000,797.000000,1637.000000,1644.000000,845.000000,1076.000000,1671.000000,2212.000000,1684.000000,2090.000000,648.000000,715.000000,8651.000000,8493.000000,7315.000000,7081.000000
